Approved symbol	Approved name	Previous symbols	Synonyms	Chromosome	Accession numbers	RefSeq IDs	Ensembl gene ID	NCBI Gene ID
RNU6-803P	"RNA, U6 small nuclear 803, pseudogene"			19q13.42			ENSG00000251843	106481434
RNU6-804P	"RNA, U6 small nuclear 804, pseudogene"			5q14.3			ENSG00000207013	106479921
RNU6-805P	"RNA, U6 small nuclear 805, pseudogene"			10q22.1			ENSG00000202513	106479922
RNU6-806P	"RNA, U6 small nuclear 806, pseudogene"			5q12.1			ENSG00000202017	106481435
RNU6-807P	"RNA, U6 small nuclear 807, pseudogene"			15q26.3			ENSG00000252614	106479923
RNU6-808P	"RNA, U6 small nuclear 808, pseudogene"			12q22			ENSG00000212535	106481436
RNU6-809P	"RNA, U6 small nuclear 809, pseudogene"			1p31.3			ENSG00000207190	106479924
RNU6-810P	"RNA, U6 small nuclear 810, pseudogene"			22q12.1			ENSG00000200871	106481437
RNU6-811P	"RNA, U6 small nuclear 811, pseudogene"			10p11.21			ENSG00000206796	106479925
RNU6-812P	"RNA, U6 small nuclear 812, pseudogene"			2p12			ENSG00000200048	106479926
RNU6-813P	"RNA, U6 small nuclear 813, pseudogene"			6q25.1			ENSG00000207422	106481438
RNU6-815P	"RNA, U6 small nuclear 815, pseudogene"			3p24.3			ENSG00000206807	106480611
RNU6-816P	"RNA, U6 small nuclear 816, pseudogene"			22q11.1			ENSG00000212216	106480401
RNU6-817P	"RNA, U6 small nuclear 817, pseudogene"			1p13.1			ENSG00000212385	106479927
RNU6-818P	"RNA, U6 small nuclear 818, pseudogene"			4q22.1			ENSG00000201707	106481439
RNU6-819P	"RNA, U6 small nuclear 819, pseudogene"			8q11.1			ENSG00000200986	106479928
RNU6-820P	"RNA, U6 small nuclear 820, pseudogene"			9q21.11			ENSG00000207000	106479929
RNU6-821P	"RNA, U6 small nuclear 821, pseudogene"			3q29			ENSG00000212297	106481440
RNU6-822P	"RNA, U6 small nuclear 822, pseudogene"			3p24.3			ENSG00000199577	106479930
RNU6-823P	"RNA, U6 small nuclear 823, pseudogene"			3q21.3			ENSG00000212344	106481441
RNU6-824P	"RNA, U6 small nuclear 824, pseudogene"			6q25.2			ENSG00000200594	106480612
RNU6-826P	"RNA, U6 small nuclear 826, pseudogene"			17q21.32			ENSG00000252636	106479931
RNU6-827P	"RNA, U6 small nuclear 827, pseudogene"			2p12			ENSG00000202423	106481442
RNU6-828P	"RNA, U6 small nuclear 828, pseudogene"			1p36.22			ENSG00000201746	106479932
RNU6-829P	"RNA, U6 small nuclear 829, pseudogene"			9q22.31			ENSG00000200570	106479933
RNU6-830P	"RNA, U6 small nuclear 830, pseudogene"			1p32.3			ENSG00000252162	106480613
RNU6-831P	"RNA, U6 small nuclear 831, pseudogene"			18p11.31			ENSG00000207278	106481443
RNU6-832P	"RNA, U6 small nuclear 832, pseudogene"			7q11.22			ENSG00000200189	106479934
RNU6-833P	"RNA, U6 small nuclear 833, pseudogene"			10q22.2			ENSG00000200356	106481444
RNU6-834P	"RNA, U6 small nuclear 834, pseudogene"			12q13.12			ENSG00000199237	106479935
RNU6-835P	"RNA, U6 small nuclear 835, pseudogene"			14q31.3			ENSG00000252783	106481445
RNU6-836P	"RNA, U6 small nuclear 836, pseudogene"			4p14			ENSG00000199790	106481918
RNU6-837P	"RNA, U6 small nuclear 837, pseudogene"			12p12.3			ENSG00000212358	106479936
RNU6-838P	"RNA, U6 small nuclear 838, pseudogene"			4p12			ENSG00000200269	106479937
RNU6-839P	"RNA, U6 small nuclear 839, pseudogene"			10q25.1			ENSG00000200217	106481446
RNU6-840P	"RNA, U6 small nuclear 840, pseudogene"			17q12			ENSG00000253084	106479938
RNU6-841P	"RNA, U6 small nuclear 841, pseudogene"			19q13.33			ENSG00000206599	106480699
RNU6-842P	"RNA, U6 small nuclear 842, pseudogene"			8p22			ENSG00000206996	106481447
RNU6-843P	"RNA, U6 small nuclear 843, pseudogene"			2p24.3			ENSG00000207183	106480614
RNU6-844P	"RNA, U6 small nuclear 844, pseudogene"			15q21.3			ENSG00000252984	106479939
RNU6-845P	"RNA, U6 small nuclear 845, pseudogene"			16q11.2			ENSG00000199448	106479940
RNU6-847P	"RNA, U6 small nuclear 847, pseudogene"			10p11.21			ENSG00000223047	106481448
RNU6-848P	"RNA, U6 small nuclear 848, pseudogene"			2q21.1			ENSG00000251757	106479941
RNU6-849P	"RNA, U6 small nuclear 849, pseudogene"			7q21.11			ENSG00000206818	106481449
RNU6-850P	"RNA, U6 small nuclear 850, pseudogene"	RNU6-1030P		6p21.33			ENSG00000252743	106481919
RNU6-851P	"RNA, U6 small nuclear 851, pseudogene"			2p22.1			ENSG00000207295	106479942
RNU6-853P	"RNA, U6 small nuclear 853, pseudogene"			4q32.3			ENSG00000201176	106479943
RNU6-854P	"RNA, U6 small nuclear 854, pseudogene"			Xq21.1			ENSG00000200906	106481450
RNU6-855P	"RNA, U6 small nuclear 855, pseudogene"			9q32			ENSG00000222327	106479944
RNU6-856P	"RNA, U6 small nuclear 856, pseudogene"			3p21.1			ENSG00000252768	106481451
RNU6-857P	"RNA, U6 small nuclear 857, pseudogene"			18q12.1			ENSG00000251702	106480615
RNU6-858P	"RNA, U6 small nuclear 858, pseudogene"			3q29			ENSG00000199306	106479945
RNU6-859P	"RNA, U6 small nuclear 859, pseudogene"			21q22.3			ENSG00000199598	106481452
RNU6-860P	"RNA, U6 small nuclear 860, pseudogene"			3q29			ENSG00000222792	106479946
RNU6-861P	"RNA, U6 small nuclear 861, pseudogene"			6q22.33			ENSG00000252554	106479947
RNU6-862P	"RNA, U6 small nuclear 862, pseudogene"			17p11.2			ENSG00000199674	106481920
RNU6-863P	"RNA, U6 small nuclear 863, pseudogene"			7q11.23			ENSG00000251798	106481453
RNU6-864P	"RNA, U6 small nuclear 864, pseudogene"			14q12			ENSG00000252065	106481776
RNU6-865P	"RNA, U6 small nuclear 865, pseudogene"			3q12.2			ENSG00000201642	106479948
RNU6-866P	"RNA, U6 small nuclear 866, pseudogene"			17q12			ENSG00000274607	106481454
RNU6-867P	"RNA, U6 small nuclear 867, pseudogene"			Xq13.3			ENSG00000201826	106479949
RNU6-869P	"RNA, U6 small nuclear 869, pseudogene"			8q24.21			ENSG00000207138	106480616
RNU6-871P	"RNA, U6 small nuclear 871, pseudogene"			12q14.1			ENSG00000251931	106479950
RNU6-873P	"RNA, U6 small nuclear 873, pseudogene"			3p11.2			ENSG00000200703	106479951
RNU6-874P	"RNA, U6 small nuclear 874, pseudogene"			11q24.3			ENSG00000199260	106479952
RNU6-875P	"RNA, U6 small nuclear 875, pseudogene"			8q24.13			ENSG00000252297	106479953
RNU6-876P	"RNA, U6 small nuclear 876, pseudogene"			11q24.3			ENSG00000212597	106481455
RNU6-877P	"RNA, U6 small nuclear 877, pseudogene"			1p32.3			ENSG00000206595	106480617
RNU6-878P	"RNA, U6 small nuclear 878, pseudogene"			11p15.5			ENSG00000207308	106479954
RNU6-879P	"RNA, U6 small nuclear 879, pseudogene"			12q13.3			ENSG00000201198	106481456
RNU6-880P	"RNA, U6 small nuclear 880, pseudogene"			1p34.2			ENSG00000207256	106479955
RNU6-881P	"RNA, U6 small nuclear 881, pseudogene"			9q34.13			ENSG00000252622	106479956
RNU6-882P	"RNA, U6 small nuclear 882, pseudogene"			3p25.3			ENSG00000212327	106481457
RNU6-883P	"RNA, U6 small nuclear 883, pseudogene"			10q22.2			ENSG00000207327	106481921
RNU6-884P	"RNA, U6 small nuclear 884, pseudogene"			1q21.3			ENSG00000200759	106479957
RNU6-885P	"RNA, U6 small nuclear 885, pseudogene"			10q11.21			ENSG00000252416	106481458
RNU6-886P	"RNA, U6 small nuclear 886, pseudogene"			14q21.1			ENSG00000207046	106479958
RNU6-887P	"RNA, U6 small nuclear 887, pseudogene"			4p14			ENSG00000222592	106481459
RNU6-888P	"RNA, U6 small nuclear 888, pseudogene"			5q31.2			ENSG00000199880	106479959
RNU6-889P	"RNA, U6 small nuclear 889, pseudogene"			10p15.3			ENSG00000252998	106480402
RNU6-890P	"RNA, U6 small nuclear 890, pseudogene"			6p21.1			ENSG00000206848	106480618
RNU6-891P	"RNA, U6 small nuclear 891, pseudogene"			4q13.3			ENSG00000207007	106479960
RNU6-892P	"RNA, U6 small nuclear 892, pseudogene"			8p21.3			ENSG00000222267	106481460
RNU6-893P	"RNA, U6 small nuclear 893, pseudogene"			11q23.1			ENSG00000238444	106479961
RNU6-894P	"RNA, U6 small nuclear 894, pseudogene"			Xp21.2			ENSG00000252903	106481461
RNU6-895P	"RNA, U6 small nuclear 895, pseudogene"			8p11.21			ENSG00000206852	106479962
RNU6-896P	"RNA, U6 small nuclear 896, pseudogene"			6q25.2			ENSG00000199246	106481922
RNU6-897P	"RNA, U6 small nuclear 897, pseudogene"			6q16.3			ENSG00000252944	106479963
RNU6-898P	"RNA, U6 small nuclear 898, pseudogene"			16q22.1			ENSG00000202497	106481462
RNU6-899P	"RNA, U6 small nuclear 899, pseudogene"			11q12.1			ENSG00000200817	106479964
RNU6-900P	"RNA, U6 small nuclear 900, pseudogene"			22q13.1			ENSG00000207227	106481463
RNU6-901P	"RNA, U6 small nuclear 901, pseudogene"			3q25.2			ENSG00000207323	106479965
RNU6-902P	"RNA, U6 small nuclear 902, pseudogene"			19q13.31			ENSG00000253021	106480619
RNU6-903P	"RNA, U6 small nuclear 903, pseudogene"			18p11.22			ENSG00000212572	106481464
RNU6-904P	"RNA, U6 small nuclear 904, pseudogene"			2q22.1			ENSG00000252015	106479966
RNU6-905P	"RNA, U6 small nuclear 905, pseudogene"			3p25.1			ENSG00000207163	106479967
RNU6-906P	"RNA, U6 small nuclear 906, pseudogene"			6q21			ENSG00000207431	106481465
RNU6-907P	"RNA, U6 small nuclear 907, pseudogene"			4q22.1			ENSG00000212226	106480620
RNU6-908P	"RNA, U6 small nuclear 908, pseudogene"			10p11.23			ENSG00000222092	106479968
RNU6-909P	"RNA, U6 small nuclear 909, pseudogene"			5p14.1			ENSG00000252867	106481466
RNU6-910P	"RNA, U6 small nuclear 910, pseudogene"			3q29			ENSG00000212146	106481777
RNU6-911P	"RNA, U6 small nuclear 911, pseudogene"			7q34			ENSG00000252332	106479969
RNU6-912P	"RNA, U6 small nuclear 912, pseudogene"			7q11.21			ENSG00000200670	106479970
RNU6-913P	"RNA, U6 small nuclear 913, pseudogene"			5q12.1			ENSG00000212215	106481467
RNU6-914P	"RNA, U6 small nuclear 914, pseudogene"			8q22.2			ENSG00000252558	107063540
RNU6-915P	"RNA, U6 small nuclear 915, pseudogene"			2q32.3			ENSG00000201813	106481923
RNU6-916P	"RNA, U6 small nuclear 916, pseudogene"			18p11.31			ENSG00000251897	106481468
RNU6-917P	"RNA, U6 small nuclear 917, pseudogene"			20p13			ENSG00000252103	106479971
RNU6-918P	"RNA, U6 small nuclear 918, pseudogene"			9q22.33			ENSG00000212521	106481469
RNU6-919P	"RNA, U6 small nuclear 919, pseudogene"			20q13.13			ENSG00000252540	106479972
RNU6-920P	"RNA, U6 small nuclear 920, pseudogene"			17q11.2			ENSG00000222858	106481470
RNU6-921P	"RNA, U6 small nuclear 921, pseudogene"			14q24.1			ENSG00000207089	106479973
RNU6-922P	"RNA, U6 small nuclear 922, pseudogene"			3p24.3			ENSG00000252562	106479974
RNU6-923P	"RNA, U6 small nuclear 923, pseudogene"			5p13.2			ENSG00000201623	106481471
RNU6-924P	"RNA, U6 small nuclear 924, pseudogene"			19q13.32			ENSG00000199796	106480621
RNU6-925P	"RNA, U6 small nuclear 925, pseudogene"			8q21.3			ENSG00000207359	106479975
RNU6-926P	"RNA, U6 small nuclear 926, pseudogene"			21q21.3			ENSG00000206802	106481472
RNU6-927P	"RNA, U6 small nuclear 927, pseudogene"			12q24.31			ENSG00000252008	106479976
RNU6-928P	"RNA, U6 small nuclear 928, pseudogene"			17q24.2			ENSG00000252685	106479977
RNU6-929P	"RNA, U6 small nuclear 929, pseudogene"			20q13.31			ENSG00000207158	106481473
RNU6-930P	"RNA, U6 small nuclear 930, pseudogene"	RNU6-1173P		6p22.1			ENSG00000212240	106480622
RNU6-931P	"RNA, U6 small nuclear 931, pseudogene"			4p12			ENSG00000200720	106479978
RNU6-932P	"RNA, U6 small nuclear 932, pseudogene"			2q24.1			ENSG00000212410	106481474
RNU6-933P	"RNA, U6 small nuclear 933, pseudogene"			11q12.2			ENSG00000207153	106479979
RNU6-934P	"RNA, U6 small nuclear 934, pseudogene"			Xq22.1			ENSG00000202024	106481475
RNU6-935P	"RNA, U6 small nuclear 935, pseudogene"			Xp11.22			ENSG00000222303	106480403
RNU6-936P	"RNA, U6 small nuclear 936, pseudogene"			2p23.3			ENSG00000206732	106481924
RNU6-937P	"RNA, U6 small nuclear 937, pseudogene"			20q11.23			ENSG00000207053	106479980
RNU6-938P	"RNA, U6 small nuclear 938, pseudogene"			17q25.1			ENSG00000223217	106479981
RNU6-939P	"RNA, U6 small nuclear 939, pseudogene"			2p22.2			ENSG00000207364	106481476
RNU6-940P	"RNA, U6 small nuclear 940, pseudogene"			12q13.12			ENSG00000200303	106479982
RNU6-941P	"RNA, U6 small nuclear 941, pseudogene"			Yp11.2			ENSG00000252155	107063612
RNU6-942P	"RNA, U6 small nuclear 942, pseudogene"			2p23.3			ENSG00000199872	106481477
RNU6-943P	"RNA, U6 small nuclear 943, pseudogene"			11p15.4			ENSG00000252769	106480623
RNU6-944P	"RNA, U6 small nuclear 944, pseudogene"			16p12.3			ENSG00000200893	106479983
RNU6-945P	"RNA, U6 small nuclear 945, pseudogene"			19q13.2			ENSG00000206674	106479984
RNU6-946P	"RNA, U6 small nuclear 946, pseudogene"			10p12.1			ENSG00000206605	106481478
RNU6-947P	"RNA, U6 small nuclear 947, pseudogene"			1q44			ENSG00000252073	106479985
RNU6-948P	"RNA, U6 small nuclear 948, pseudogene"			4q27			ENSG00000252183	106481479
RNU6-949P	"RNA, U6 small nuclear 949, pseudogene"			1p35.3			ENSG00000206767	106481925
RNU6-950P	"RNA, U6 small nuclear 950, pseudogene"			12q13.13			ENSG00000207381	106479986
RNU6-951P	"RNA, U6 small nuclear 951, pseudogene"			2p22.2			ENSG00000199603	106481480
RNU6-952P	"RNA, U6 small nuclear 952, pseudogene"			11q22.2			ENSG00000212466	106479987
RNU6-953P	"RNA, U6 small nuclear 953, pseudogene"			15q21.1			ENSG00000238941	106479988
RNU6-954P	"RNA, U6 small nuclear 954, pseudogene"			21q11.2			ENSG00000223287	106481481
RNU6-955P	"RNA, U6 small nuclear 955, pseudogene"			17p13.2			ENSG00000222429	106480624
RNU6-956P	"RNA, U6 small nuclear 956, pseudogene"			7q21.3			ENSG00000239030	106480404
RNU6-957P	"RNA, U6 small nuclear 957, pseudogene"			6q21			ENSG00000200522	106479989
RNU6-958P	"RNA, U6 small nuclear 958, pseudogene"			2p21			ENSG00000252804	106481482
RNU6-959P	"RNA, U6 small nuclear 959, pseudogene"			2q32.3			ENSG00000207402	106479990
RNU6-960P	"RNA, U6 small nuclear 960, pseudogene"			6q21			ENSG00000200926	106479991
RNU6-961P	"RNA, U6 small nuclear 961, pseudogene"			2p24.1			ENSG00000200763	106481483
RNU6-964P	"RNA, U6 small nuclear 964, pseudogene"			2q36.3			ENSG00000252333	106479992
RNU6-965P	"RNA, U6 small nuclear 965, pseudogene"			1p21.2			ENSG00000252530	106481484
RNU6-966P	"RNA, U6 small nuclear 966, pseudogene"			15q21.1			ENSG00000252288	106480625
RNU6-967P	"RNA, U6 small nuclear 967, pseudogene"			19q12			ENSG00000201894	106479993
RNU6-968P	"RNA, U6 small nuclear 968, pseudogene"			1q42.3			ENSG00000206803	106481485
RNU6-969P	"RNA, U6 small nuclear 969, pseudogene"			1p32.3			ENSG00000206627	106479994
RNU6-970P	"RNA, U6 small nuclear 970, pseudogene"			1p22.1			ENSG00000252121	106481486
RNU6-971P	"RNA, U6 small nuclear 971, pseudogene"			17q21.31			ENSG00000252729	106481926
RNU6-972P	"RNA, U6 small nuclear 972, pseudogene"			Xq26.3			ENSG00000212510	106479995
RNU6-973P	"RNA, U6 small nuclear 973, pseudogene"			7q11.21			ENSG00000201560	106479996
RNU6-974P	"RNA, U6 small nuclear 974, pseudogene"			Xq21.1			ENSG00000206826	106481487
RNU6-975P	"RNA, U6 small nuclear 975, pseudogene"			6q13			ENSG00000207023	106479997
RNU6-976P	"RNA, U6 small nuclear 976, pseudogene"			14q31.3			ENSG00000251895	106481488
RNU6-977P	"RNA, U6 small nuclear 977, pseudogene"			12q21.31			ENSG00000252220	106480626
RNU6-978P	"RNA, U6 small nuclear 978, pseudogene"			15q11.1			ENSG00000201241	106479998
RNU6-979P	"RNA, U6 small nuclear 979, pseudogene"			7p15.1			ENSG00000206623	106479999
RNU6-980P	"RNA, U6 small nuclear 980, pseudogene"			19q13.42			ENSG00000252734	106481489
RNU6-982P	"RNA, U6 small nuclear 982, pseudogene"			19q13.42			ENSG00000252025	106481979
RNU6-983P	"RNA, U6 small nuclear 983, pseudogene"			1q31.3			ENSG00000251813	106481490
RNU6-984P	"RNA, U6 small nuclear 984, pseudogene"			9q31.3			ENSG00000200106	106481927
RNU6-985P	"RNA, U6 small nuclear 985, pseudogene"			Xq26.3			ENSG00000222114	106480001
RNU6-986P	"RNA, U6 small nuclear 986, pseudogene"			2p23.3			ENSG00000200003	106481491
RNU6-987P	"RNA, U6 small nuclear 987, pseudogene"			6p22.2			ENSG00000207490	106480002
RNU6-988P	"RNA, U6 small nuclear 988, pseudogene"			8p11.23			ENSG00000253437	106480003
RNU6-989P	"RNA, U6 small nuclear 989, pseudogene"			2q32.1			ENSG00000199626	106481492
RNU6-990P	"RNA, U6 small nuclear 990, pseudogene"			17q11.2			ENSG00000201255	106480627
RNU6-991P	"RNA, U6 small nuclear 991, pseudogene"			1p36.23			ENSG00000251977	106480004
RNU6-992P	"RNA, U6 small nuclear 992, pseudogene"			21q22.12			ENSG00000200213	106481493
RNU6-993P	"RNA, U6 small nuclear 993, pseudogene"			19p13.3			ENSG00000252962	106480005
RNU6-994P	"RNA, U6 small nuclear 994, pseudogene"			20q13.33			ENSG00000222439	106480006
RNU6-995P	"RNA, U6 small nuclear 995, pseudogene"			Xq21.1			ENSG00000212546	106481494
RNU6-996P	"RNA, U6 small nuclear 996, pseudogene"			9q31.2			ENSG00000202308	106481928
RNU6-997P	"RNA, U6 small nuclear 997, pseudogene"			2p16.2			ENSG00000207456	106480007
RNU6-998P	"RNA, U6 small nuclear 998, pseudogene"			4q12			ENSG00000251703	106481495
RNU6-999P	"RNA, U6 small nuclear 999, pseudogene"			1q44			ENSG00000251754	106480008
RNU6-1000P	"RNA, U6 small nuclear 1000, pseudogene"			4q21.1			ENSG00000212368	106481496
RNU6-1001P	"RNA, U6 small nuclear 1001, pseudogene"			2q24.1			ENSG00000223197	106480628
RNU6-1003P	"RNA, U6 small nuclear 1003, pseudogene"			5p15.1			ENSG00000252908	106481778
RNU6-1004P	"RNA, U6 small nuclear 1004, pseudogene"			12q24.31			ENSG00000252393	106480009
RNU6-1005P	"RNA, U6 small nuclear 1005, pseudogene"			16p12.2			ENSG00000207248	106481497
RNU6-1006P	"RNA, U6 small nuclear 1006, pseudogene"			2q31.1			ENSG00000252807	106480010
RNU6-1007P	"RNA, U6 small nuclear 1007, pseudogene"			2p11.2			ENSG00000252395	106480629
RNU6-1008P	"RNA, U6 small nuclear 1008, pseudogene"			1q42.11			ENSG00000206887	106481498
RNU6-1009P	"RNA, U6 small nuclear 1009, pseudogene"			12q14.2			ENSG00000212298	106481499
RNU6-1010P	"RNA, U6 small nuclear 1010, pseudogene"			7q32.3			ENSG00000199627	106481929
RNU6-1011P	"RNA, U6 small nuclear 1011, pseudogene"			8q22.3			ENSG00000207399	106480011
RNU6-1012P	"RNA, U6 small nuclear 1012, pseudogene"			12q21.1			ENSG00000252415	106481500
RNU6-1013P	"RNA, U6 small nuclear 1013, pseudogene"			9q31.3			ENSG00000206907	106480012
RNU6-1014P	"RNA, U6 small nuclear 1014, pseudogene"			15q21.1			ENSG00000238456	106480013
RNU6-1015P	"RNA, U6 small nuclear 1015, pseudogene"			Xq23			ENSG00000252930	106481501
RNU6-1016P	"RNA, U6 small nuclear 1016, pseudogene"			6q14.1			ENSG00000252498	106480630
RNU6-1017P	"RNA, U6 small nuclear 1017, pseudogene"			12q24.33			ENSG00000200483	106480014
RNU6-1018P	"RNA, U6 small nuclear 1018, pseudogene"			20q12			ENSG00000252386	106481502
RNU6-1019P	"RNA, U6 small nuclear 1019, pseudogene"			20p13			ENSG00000201294	106480015
RNU6-1020P	"RNA, U6 small nuclear 1020, pseudogene"			9q33.3			ENSG00000200554	106481503
RNU6-1021P	"RNA, U6 small nuclear 1021, pseudogene"			18p11.21			ENSG00000200132	106481930
RNU6-1022P	"RNA, U6 small nuclear 1022, pseudogene"			1p36.12			ENSG00000201919	106480016
RNU6-1023P	"RNA, U6 small nuclear 1023, pseudogene"			6p12.1			ENSG00000251946	106480017
RNU6-1024P	"RNA, U6 small nuclear 1024, pseudogene"			3p25.1			ENSG00000206926	106481504
RNU6-1025P	"RNA, U6 small nuclear 1025, pseudogene"			11p15.5			ENSG00000222561	106480018
RNU6-1026P	"RNA, U6 small nuclear 1026, pseudogene"			1p32.3			ENSG00000207194	106480631
RNU6-1027P	"RNA, U6 small nuclear 1027, pseudogene"			2q36.3			ENSG00000206725	106481505
RNU6-1028P	"RNA, U6 small nuclear 1028, pseudogene"			19p13.11			ENSG00000252973	106480405
RNU6-1029P	"RNA, U6 small nuclear 1029, pseudogene"			2q33.1			ENSG00000206836	106480019
RNU6-1031P	"RNA, U6 small nuclear 1031, pseudogene"			1p31.3			ENSG00000207504	106480020
RNU6-1032P	"RNA, U6 small nuclear 1032, pseudogene"			18q11.2			ENSG00000206827	106481506
RNU6-1034P	"RNA, U6 small nuclear 1034, pseudogene"			17q11.2			ENSG00000202205	106480632
RNU6-1035P	"RNA, U6 small nuclear 1035, pseudogene"			9q21.32			ENSG00000207206	106481507
RNU6-1036P	"RNA, U6 small nuclear 1036, pseudogene"			5q35.3			ENSG00000206686	106480021
RNU6-1037P	"RNA, U6 small nuclear 1037, pseudogene"			18q22.1			ENSG00000238680	106481508
RNU6-1038P	"RNA, U6 small nuclear 1038, pseudogene"			18q11.2			ENSG00000252325	106480022
RNU6-1039P	"RNA, U6 small nuclear 1039, pseudogene"			9q31.3			ENSG00000206658	106481931
RNU6-1040P	"RNA, U6 small nuclear 1040, pseudogene"			8q21.2			ENSG00000206701	106480023
RNU6-1041P	"RNA, U6 small nuclear 1041, pseudogene"			19q13.42			ENSG00000252063	106481509
RNU6-1042P	"RNA, U6 small nuclear 1042, pseudogene"			1q21.3			ENSG00000206931	106480024
RNU6-1043P	"RNA, U6 small nuclear 1043, pseudogene"			16p11.2			ENSG00000222287	106481510
RNU6-1044P	"RNA, U6 small nuclear 1044, pseudogene"			Xq13.2			ENSG00000207486	106480633
RNU6-1045P	"RNA, U6 small nuclear 1045, pseudogene"			2q32.3			ENSG00000252130	106480025
RNU6-1046P	"RNA, U6 small nuclear 1046, pseudogene"			14q11.2			ENSG00000252347	106480026
RNU6-1047P	"RNA, U6 small nuclear 1047, pseudogene"			3q21.3			ENSG00000201288	106481511
RNU6-1048P	"RNA, U6 small nuclear 1048, pseudogene"			2p21			ENSG00000200924	106480027
RNU6-1049P	"RNA, U6 small nuclear 1049, pseudogene"			2q21.1			ENSG00000252223	106481779
RNU6-1050P	"RNA, U6 small nuclear 1050, pseudogene"			18q12.1			ENSG00000222320	106481512
RNU6-1051P	"RNA, U6 small nuclear 1051, pseudogene"			2q37.3			ENSG00000202341	106481932
RNU6-1052P	"RNA, U6 small nuclear 1052, pseudogene"			7p11.2			ENSG00000223330	106480028
RNU6-1053P	"RNA, U6 small nuclear 1053, pseudogene"			4q35.1			ENSG00000251739	106481513
RNU6-1054P	"RNA, U6 small nuclear 1054, pseudogene"			4q26			ENSG00000223225	106480029
RNU6-1055P	"RNA, U6 small nuclear 1055, pseudogene"			4q35.2			ENSG00000212387	107105256
RNU6-1056P	"RNA, U6 small nuclear 1056, pseudogene"			Xp11.23			ENSG00000206723	106481514
RNU6-1057P	"RNA, U6 small nuclear 1057, pseudogene"			17p11.2			ENSG00000252971	106480030
RNU6-1059P	"RNA, U6 small nuclear 1059, pseudogene"			4q22.3			ENSG00000200622	106480031
RNU6-1060P	"RNA, U6 small nuclear 1060, pseudogene"			6p22.3			ENSG00000207394	106480032
RNU6-1061P	"RNA, U6 small nuclear 1061, pseudogene"			16q22.2			ENSG00000252339	106480033
RNU6-1062P	"RNA, U6 small nuclear 1062, pseudogene"			1q21.3			ENSG00000206635	106480634
RNU6-1064P	"RNA, U6 small nuclear 1064, pseudogene"			9q31.2			ENSG00000222558	106481515
RNU6-1065P	"RNA, U6 small nuclear 1065, pseudogene"			17p12			ENSG00000207242	106480034
RNU6-1066P	"RNA, U6 small nuclear 1066, pseudogene"			22q12.1			ENSG00000200443	106480035
RNU6-1067P	"RNA, U6 small nuclear 1067, pseudogene"			10p12.1			ENSG00000207483	106481516
RNU6-1068P	"RNA, U6 small nuclear 1068, pseudogene"			12q23.2			ENSG00000222890	106481933
RNU6-1069P	"RNA, U6 small nuclear 1069, pseudogene"			12p11.21			ENSG00000252421	106480036
RNU6-1071P	"RNA, U6 small nuclear 1071, pseudogene"			1q21.1			ENSG00000201789	106481517
RNU6-1072P	"RNA, U6 small nuclear 1072, pseudogene"			1p36.21			ENSG00000207434	106480037
RNU6-1073P	"RNA, U6 small nuclear 1073, pseudogene"			9p24.3			ENSG00000252991	106481518
RNU6-1074P	"RNA, U6 small nuclear 1074, pseudogene"			4q31.1			ENSG00000206722	106480635
RNU6-1075P	"RNA, U6 small nuclear 1075, pseudogene"			10p13			ENSG00000201260	106480406
RNU6-1076P	"RNA, U6 small nuclear 1076, pseudogene"			19p13.3			ENSG00000222329	106480038
RNU6-1077P	"RNA, U6 small nuclear 1077, pseudogene"			12q24.33			ENSG00000222438	106480039
RNU6-1078P	"RNA, U6 small nuclear 1078, pseudogene"			Xq13.1			ENSG00000201392	106481519
RNU6-1079P	"RNA, U6 small nuclear 1079, pseudogene"			5p13.3			ENSG00000199731	106480040
RNU6-1080P	"RNA, U6 small nuclear 1080, pseudogene"			7q11.23			ENSG00000206709	106481520
RNU6-1081P	"RNA, U6 small nuclear 1081, pseudogene"			2p25.1			ENSG00000207267	106480636
RNU6-1082P	"RNA, U6 small nuclear 1082, pseudogene"			9q33.1			ENSG00000201444	106480041
RNU6-1083P	"RNA, U6 small nuclear 1083, pseudogene"			12q14.1			ENSG00000206749	106481521
RNU6-1084P	"RNA, U6 small nuclear 1084, pseudogene"			8p23.1			ENSG00000199368	106480042
RNU6-1085P	"RNA, U6 small nuclear 1085, pseudogene"			7p14.2			ENSG00000200446	106480043
RNU6-1086P	"RNA, U6 small nuclear 1086, pseudogene"			8p21.1			ENSG00000222862	106481934
RNU6-1087P	"RNA, U6 small nuclear 1087, pseudogene"			Xp21.1			ENSG00000252411	106481522
RNU6-1088P	"RNA, U6 small nuclear 1088, pseudogene"			12q24.31			ENSG00000252659	106480044
RNU6-1089P	"RNA, U6 small nuclear 1089, pseudogene"			1q44			ENSG00000252282	106481523
RNU6-1090P	"RNA, U6 small nuclear 1090, pseudogene"			10q25.3			ENSG00000200935	106480045
RNU6-1091P	"RNA, U6 small nuclear 1091, pseudogene"			7p12.1			ENSG00000200815	106480637
RNU6-1092P	"RNA, U6 small nuclear 1092, pseudogene"			8q22.3			ENSG00000252764	106480046
RNU6-1093P	"RNA, U6 small nuclear 1093, pseudogene"			12q13.12			ENSG00000212496	106481524
